,Study,in WoS search?,Research question,Language,Condition,Type of materials,Fiction/nonfiction,Nwords/trial,Ntrials,Time (mins),Reading rate (wpm),Wordlength,N parts,Participants,Comprehension questions?,Test used,Other info,Weighted sum
175,Strukelj & Niehorster (2018) ,N,Effect reading goals,Swedish,normal reading,text passages,fiction,146,1,,144.0,,64,University students,Yes,IReST,,9216.0
176,Subbaram (2004),N,Effect of display,English,all,novel passages,fiction,,1,30,269.0,,30,Students and staff,Yes,,,8070.0
177,Taylor (1965),N,Reading rate at different ages,English,college students,text passages,unclear,100,5,,280.0,,1000,College undergraduates,Yes,,,280000.0
178,Thalberg (1967),Y,Reading speed and retention,English,Immediate retention,expository text,nonfiction,1500,1,,257.0,,80,College undergraduates,Yes,Traxler High School Reading test,Slow readers do not remember more on a delayed retention test,20560.0
179,Thalberg (1967),Y,Reading speed and retention,English,Delayed retention,expository text,nonfiction,1500,1,,267.0,,96,College undergraduates,Yes,Traxler High School Reading test,,25632.0
180,Thames & Rosster (1972),N,Reading training,English,pre-training,text passages,nonfiction,,1,1,236.0,,46,College undergraduates,Yes,Nelson-Denny,,10856.0
181,Tombauch et al. (1985),N,Reading computer screen,English,all,text passages,nonfiction,,1,1,285.0,,90,College undergraduates,Yes,"Nelson-Denny, Forms E and F",,25650.0
182,Tyrrell et al. (2001),N,Influence of letter type,English,all,Dracula,fiction,,1,60,248.0,,18,College undergraduates,No,,,4464.0
183,"Veldre & Andrews (2014, Exp 1+2)",N,Ability differences in reading,English,full line,sentences,unclear,20,64,,240.0,,96,College undergraduates,Yes,,,23040.0
184,"Wagner & Sternberg (1987, Exp 1)",N,Effect reading goal,English,all,expository texts,nonfiction,150,44,,231.0,,40,University students,Yes,,,9240.0
185,Whitford & Titone (2015),N,Effect bilingualism,English,"first language, full text",sentences,unclear,10,75,,207.0,,36,General population,Yes,,estimate on the basis of absence of effect,7452.0
186,Whitford & Titone (2015),N,Effect bilingualism,French,"first language, full text",sentences,unclear,11,75,,207.0,,59,General population,Yes,,estimate on the basis of absence of effect,12213.0
187,Wooster (1954),N,Reading training,English,control group,expository text,nonfiction,,1,10,204.0,,?,University students,Yes,Robinson-Hall Reading test,,
188,Zambarbieri & Carniglia (2012),N,Effect display type,Italian,all that could be found (sent by author),chapters from a novel,fiction,2755,1,,290.0,,38,University students,No,,,11020.0
189,Zwaan (1991),Y,Effect discourse type on reading rate,Dutch,all,expository text and novels,unclear,216,6,,310.0,,40,Graduate students,Yes,,,12400.0
193,,,,,,,,,,,237.7894737,,17887,,,,,241.0744116
194,,,,,,,,,,,235.0,,,,,,,
